experiment,axis,value,hidden_layers,dropout,learning_rate,batch_size,weight_decay,batch_norm,scheduler,seed,pos_weight,best_epoch,trained_epochs,seconds,accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,roc_auc,best_threshold,accuracy_at_best,precision_at_best,recall_at_best,f1_at_best,recall70_threshold,precision_at_recall70,recall_at_recall70,f1_at_recall70,device,random_state,evaluated_split
exp_seed_0,seed,0,256,0.3,0.001,512,0.0,False,none,0,9.686776664304753,3,8,12.71,0.7411816708413143,0.23490757812130666,0.7823964729963785,0.36132926119837117,0.8375050765961246,0.69,0.8524974215411817,0.3259132420091324,0.5394426074633916,0.4063333926347625,0.57,0.2623860715120355,0.7071327350023618,0.3827502450249286,mps,42,validation
exp_seed_1,seed,1,256,0.3,0.001,512,0.0,False,none,1,9.686776664304753,1,6,10.23,0.7436864594076912,0.23645907897876403,0.7801920957329554,0.36292389950926535,0.8367076187434893,0.71,0.8653897156328275,0.3448122144210409,0.48716737521650133,0.40381101540067865,0.57,0.26590528581679024,0.7002046921744607,0.38543878656554714,mps,42,validation
exp_seed_7,seed,7,256,0.3,0.001,512,0.0,False,none,7,9.686776664304753,1,6,9.61,0.7398114041550022,0.23400451637184794,0.7831837505904582,0.36034339116890646,0.8361225258193304,0.7,0.8540150287313982,0.3273803746481607,0.5310974649661471,0.40506785156719105,0.57,0.25899321917021034,0.7096520233034168,0.3794889066644213,mps,42,validation
exp_seed_42,seed,42,256,0.3,0.001,512,0.0,False,none,42,9.686776664304753,10,15,24.21,0.7426108737291881,0.23553758325404378,0.7795622736576917,0.3617697563114245,0.8375691015283111,0.7,0.8539560925298364,0.32914307648018426,0.5400724295386553,0.4090150250417362,0.57,0.26126544104854144,0.7093371122657849,0.38187674832584556,mps,42,validation
exp_seed_2024,seed,2024,256,0.3,0.001,512,0.0,False,none,2024,9.686776664304753,2,7,11.81,0.7393104464417268,0.2340555242918777,0.7858604944103291,0.3606865401987353,0.8374323354174236,0.68,0.8484455576838072,0.32125011356409555,0.5567627145331444,0.4074202097015785,0.57,0.26081925480212914,0.7098094788222327,0.38146816162470915,mps,42,validation
exp_posw_1,pos_weight,1.0,256,0.3,0.001,512,0.0,False,none,42,1.0,10,15,22.37,0.9081184617651392,0.5519421860885275,0.09620532199653598,0.1638508983641727,0.8378646425604748,0.2,0.8553263592161485,0.3307301835220617,0.5334592977483861,0.40831575775836093,0.12,0.2606751877113544,0.7161076995748701,0.3822169930246239,mps,42,validation
exp_posw_3,pos_weight,3.0,256,0.3,0.001,512,0.0,False,none,42,3.0,5,10,14.59,0.8762045086194195,0.3665929491349031,0.4437096520233034,0.4014816925487961,0.8375482918256869,0.44,0.8549727420067776,0.3296252927400468,0.5318847425602268,0.4070124706307609,0.32,0.26693466130677385,0.7005196032120926,0.3865670344947432,mps,42,validation
exp_posw_5,pos_weight,5.0,256,0.3,0.001,512,0.0,False,none,42,5.0,7,12,17.45,0.8352880506851333,0.30547945205479454,0.5969138718312077,0.4041362400724908,0.8371358486641949,0.55,0.8561514660380138,0.3313562672993278,0.5277908990710124,0.40711726483269567,0.41,0.2637298091042584,0.7069752794835459,0.384154688569473,mps,42,validation
exp_posw_15,pos_weight,15.0,256,0.3,0.001,512,0.0,False,none,42,15.0,3,8,11.67,0.664137321349639,0.200713453698311,0.8682097307510628,0.32605032078762974,0.8374312540448933,0.79,0.8573743922204214,0.33306589108414403,0.5229097779877184,0.40693542458032106,0.68,0.26207897793263646,0.7105967564163124,0.3829281744516567,mps,42,validation
