model,accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,best_threshold,accuracy_at_best,precision_at_best,recall_at_best,f1_at_best,recall70_threshold,precision_at_recall70,recall_at_recall70,f1_at_recall70,roc_auc,pr_auc,evaluated_split
mlp_tuned,0.7426108737291881,0.23553758325404378,0.7795622736576917,0.3617697563114245,0.7,0.8539560925298364,0.32914307648018426,0.5400724295386553,0.4090150250417362,0.57,0.26126544104854144,0.7093371122657849,0.38187674832584556,0.8375691015283111,0.3560770440513497,validation
mlp,0.7489023132459113,0.23935833048905358,0.7729491418674225,0.36552494415487713,0.72,0.8588477972594666,0.33490131915328764,0.5156668241221855,0.4060756354618723,0.57,0.2636970264575041,0.7093371122657849,0.38446767655216557,0.837560468464299,0.35683321438449034,validation
logistic_regression,0.7444968321791661,0.23617246014979834,0.7745236970555818,0.3619706390963612,0.72,0.8641815235008103,0.3417595761121537,0.4874822862541332,0.4018170019467878,0.56,0.2593686649290472,0.7050858132577547,0.37923441734417346,0.8346161150168196,0.354177597956325,validation
random_forest,0.9025342566671578,0.4074333800841515,0.09148165643205794,0.1494149414941494,0.2,0.8348312951230293,0.2868298675089936,0.5147220910092899,0.3683795357223349,0.11,0.226986191715029,0.7143756888678948,0.3445081438171533,0.8011632056846133,0.2827935125711734,validation
decision_tree,0.853484602917342,0.22997144145498272,0.2409069437883798,0.23531221162719163,0.96,0.8550464122587299,0.23287881109238548,0.23933238860022044,0.23606150023295544,0.01,0.22962629446195407,0.2409069437883798,0.2351313969571231,0.578915238691205,0.1271311299232037,validation
