experiment,epoch,train_loss,selection_score,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
exp01_baseline,1,0.9316545147117775,0.34891637736357817,0.7153823486076323,0.22197444034651342,0.814989765391277,0.34891637736357817,0.8365995109242546
exp01_baseline,2,0.9090542180857867,0.3535660091047041,0.7238249594813614,0.22636343563700595,0.8071169894504803,0.3535660091047041,0.8374145996281935
exp01_baseline,3,0.9035320420642662,0.3566110307350295,0.7313540592308826,0.22980716754593414,0.7956227365769171,0.3566110307350295,0.837385238764329
exp01_baseline,4,0.9015701537371067,0.35614324295885796,0.7295270369824665,0.22910649819494586,0.7994016690284994,0.35614324295885796,0.8379110903900513
exp01_baseline,5,0.9005152926884098,0.3548900262830267,0.7251510240165021,0.22738754708619544,0.8079042670445599,0.3548900262830267,0.8376874484737187
exp01_baseline,6,0.8985091062662868,0.3538977890038407,0.7248710770590835,0.22678492239467848,0.805227523224689,0.3538977890038407,0.8378718794381785
exp01_baseline,7,0.8981575773297681,0.3631406359382484,0.7453219390010314,0.23703703703703705,0.7759407967249252,0.3631406359382484,0.837490816555762
exp01_baseline,8,0.8965628025797534,0.3542541281835992,0.7280388978930308,0.22772455359150812,0.7971972917650764,0.3542541281835992,0.8376094770352165
exp01_baseline,9,0.8946207007799473,0.3605038366874186,0.7396787977014881,0.23405555294449407,0.7841284837033538,0.3605038366874186,0.8374701757776041
exp01_baseline,10,0.8945790715094337,0.3654928265325135,0.7491233240017681,0.23940636594415154,0.7721618642733428,0.3654928265325135,0.8375909810858885
exp01_baseline,11,0.8925082032630439,0.3617884692721091,0.7427876823338736,0.23559660984668127,0.7790899071012439,0.3617884692721091,0.8375245221057103
exp01_baseline,12,0.8911039263058171,0.3534069597832882,0.7256814498305584,0.226707659403823,0.8011336797354748,0.3534069597832882,0.8372450378559602
exp01_baseline,13,0.891545117286565,0.35523556549699425,0.7281862383969353,0.228291631103724,0.8001889466225791,0.35523556549699425,0.8369777942313622
exp01_baseline,14,0.8895785463838469,0.3577160383751204,0.7346544865183439,0.23123386204352636,0.7896394268619115,0.3577160383751204,0.836537987865792
exp01_baseline,15,0.8902098264948425,0.3569909245604084,0.7327537940179756,0.23036098275152125,0.7927885372382302,0.3569909245604084,0.836728941618166
exp_lr_0.01,1,0.9277409118673913,0.3536917612166776,0.7238691616325328,0.22644175571844918,0.8074319004881121,0.3536917612166776,0.8360605919672797
exp_lr_0.01,2,0.9218322553811821,0.3472949971631679,0.7118461765139237,0.22035405725902082,0.8192410643993072,0.3472949971631679,0.8365105875495209
exp_lr_0.01,3,0.9183641593175096,0.35615362649914334,0.7342271990570208,0.2302792522501731,0.7855455833726972,0.35615362649914334,0.8352295373418143
exp_lr_0.01,4,0.9199400625051705,0.3683282208588957,0.7572712538676882,0.24344873029550407,0.7562588568729334,0.3683282208588957,0.8363273416157869
exp_lr_0.01,5,0.9199144011167795,0.3622892181911088,0.7425666715780168,0.23580557799211288,0.7814517398834829,0.3622892181911088,0.8364489173220162
exp_lr_0.01,6,0.9172838882021064,0.35126386114746194,0.7224399587446589,0.2247983426631992,0.8030231459612659,0.35126386114746194,0.8365258982488751
exp_lr_0.01,7,0.9197841122000205,0.36544649278873453,0.7530131133048475,0.2405561646566331,0.7600377893245158,0.36544649278873453,0.8353380418775985
exp_lr_0.01,8,0.9142182180492481,0.3464395364959889,0.7083100044202151,0.21917293233082707,0.8261691072272083,0.3464395364959889,0.8358763004934778
exp_lr_0.01,9,0.9152376515992431,0.36908916586768936,0.7576101370266687,0.24396674102616103,0.7576759565422768,0.36908916586768936,0.8352583082497779
exp_lr_0.01,10,0.9162321655931304,0.36293662720375325,0.743907470163548,0.23652780431874643,0.7795622736576917,0.36293662720375325,0.835058336234419
exp_lr_0.01,11,0.9132856137340404,0.3556055704037136,0.7300132606453514,0.22893366538374463,0.7960951031333648,0.3556055704037136,0.8354260515245371
exp_lr_0.01,12,0.9120207977795639,0.354303819750044,0.7297627817887137,0.22816722590006347,0.7923161706817824,0.354303819750044,0.8341010950326331
exp_lr_0.01,13,0.9116606233770898,0.34749060654857755,0.713422719905702,0.22078697190604085,0.8154621319477248,0.34749060654857755,0.8348233840572298
exp_lr_0.01,14,0.910197113365272,0.3526302979729495,0.725666715780168,0.22628290941543955,0.7984569359156038,0.3526302979729495,0.8337853060996687
exp_lr_0.003,1,0.9226040773707561,0.3528848455829543,0.7212170325622513,0.2254019573575673,0.8123130215714061,0.3528848455829543,0.8365198681573207
exp_lr_0.003,2,0.9096652038263003,0.3537603491876537,0.7251362899661117,0.2267720731923965,0.8039678790741616,0.3537603491876537,0.8372094319057657
exp_lr_0.003,3,0.9048293322469191,0.3574455960394629,0.7341829969058494,0.23096750437264107,0.7901117934183594,0.3574455960394629,0.8367424159038146
exp_lr_0.003,4,0.903428495700602,0.36190685252259175,0.7430234271401208,0.23572586026117626,0.778774996063612,0.36190685252259175,0.8376333952039666
exp_lr_0.003,5,0.9028450586684108,0.3638718271294309,0.7466922056873434,0.23782345828295043,0.77420878601795,0.3638718271294309,0.8367657389977403
exp_lr_0.003,6,0.901762884730091,0.357059427317453,0.7323559746574333,0.23029860286731804,0.7942056369075736,0.357059427317453,0.8368705079993043
exp_lr_0.003,7,0.9006566530475709,0.36735310787832987,0.7533077943126566,0.24167246693845082,0.7653912769642576,0.36735310787832987,0.8369375748516148
exp_lr_0.003,8,0.8989998530686768,0.3511591328728715,0.7204066597907764,0.2242847783358812,0.8085340891198236,0.3511591328728715,0.8369821261201378
exp_lr_0.003,9,0.8974592056913792,0.3620491102938445,0.746972152644762,0.2369214313496694,0.7672807431900488,0.3620491102938445,0.8354807587367306
exp_lr_0.003,10,0.8967584017212826,0.3634819846426462,0.7459555031678209,0.23740174567198727,0.7751535191308455,0.3634819846426462,0.8366675119800527
exp_lr_0.003,11,0.8948470736358778,0.35628105039034774,0.7327243259171946,0.229969306885336,0.7904267044559912,0.35628105039034774,0.8362632795714072
exp_lr_0.003,12,0.8928436674478558,0.355859347473751,0.7306320907617504,0.22922245926194906,0.7951503700204692,0.355859347473751,0.83644680960538
exp_lr_0.0003,1,0.9614017813771915,0.35419804546569056,0.7283483129512303,0.22776826741147851,0.7960951031333648,0.35419804546569056,0.8351975402324906
exp_lr_0.0003,2,0.9150144675436621,0.35283891380689125,0.7257551200825106,0.22641677822400713,0.7989293024720516,0.35283891380689125,0.8362937640389189
exp_lr_0.0003,3,0.9087421413577238,0.35422115284025524,0.7271401208192132,0.22749260951357161,0.7997165800661313,0.35422115284025524,0.836447714375059
exp_lr_0.0003,4,0.9062676082135017,0.3538810395953253,0.7271106527184323,0.22730124585462042,0.7986143914344198,0.3538810395953253,0.8369015824227172
exp_lr_0.0003,5,0.9047524740314637,0.352089593007375,0.7204066597907764,0.22478964119108863,0.8118406550149583,0.352089593007375,0.8372819299356137
exp_lr_0.0003,6,0.9019715317038997,0.35243013989123373,0.721040223957566,0.22511579131346676,0.8112108329396945,0.35243013989123373,0.8374562471875194
exp_lr_0.0003,7,0.9022655188555864,0.3590201399800029,0.7355237954913806,0.23216182515124925,0.7915288930877027,0.3590201399800029,0.8373242493536125
exp_lr_0.0003,8,0.9007723536553021,0.35309473105722333,0.7224988949462208,0.22580503448578834,0.8093213667139033,0.35309473105722333,0.8376312222210593
exp_lr_0.0003,9,0.8991449773793074,0.35536731009582,0.726418152350081,0.22794281387787824,0.8058573452999528,0.35536731009582,0.8377677413439014
exp_lr_0.0003,10,0.8986938417631898,0.3589195353146604,0.7349344334757625,0.2319561512597301,0.7929459927570461,0.3589195353146604,0.8378491181460763
