model,accuracy,precision,recall,f1,roc_auc,fit_and_validation_seconds,random_state,evaluated_split
logistic_regression,0.7444968321791661,0.23617246014979834,0.7745236970555818,0.3619706390963612,0.8346161150168196,0.6877545419999999,42,validation
decision_tree,0.853484602917342,0.22997144145498272,0.2409069437883798,0.23531221162719163,0.578915238691205,1.7491845000000001,42,validation
random_forest,0.9028878738765287,0.4090909090909091,0.08502598016060463,0.14078998826750097,0.8011631852089205,5.265572292,42,validation
