experiment,epoch,train_loss,selection_score,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
exp_seed_0,1,0.9223896139850524,0.353153278091738,0.7251068218653308,0.22643606615685577,0.8019209573295544,0.353153278091738,0.8363714564961053
exp_seed_0,2,0.9019843875302637,0.35709976221741135,0.7330926771769559,0.23050490240996976,0.7921587151629664,0.35709976221741135,0.8370342111639114
exp_seed_0,3,0.8980377898077587,0.36132926119837117,0.7411816708413143,0.23490757812130666,0.7823964729963785,0.36132926119837117,0.8375050765961246
exp_seed_0,4,0.8959207501087897,0.35818677235570967,0.732768528068366,0.23101150264743472,0.7968823807274446,0.35818677235570967,0.8380811781316457
exp_seed_0,5,0.8946309067513523,0.3577039274924471,0.7337409753941359,0.23099522585383767,0.7923161706817824,0.3577039274924471,0.8379226988281856
exp_seed_0,6,0.8935411769854618,0.36119868101605246,0.7402534256667158,0.2345853337098748,0.7847583057786175,0.36119868101605246,0.837665533083679
exp_seed_0,7,0.8923474475139562,0.35093569241238515,0.7189332547517312,0.22383784018403577,0.8119981105337742,0.35093569241238515,0.8374570099070795
exp_seed_0,8,0.891007094756852,0.3572869122173867,0.7323559746574333,0.23042168674698796,0.7949929145016533,0.3572869122173867,0.837463486624685
exp_seed_1,1,0.9227055526896709,0.36292389950926535,0.7436864594076912,0.23645907897876403,0.7801920957329554,0.36292389950926535,0.8367076187434893
exp_seed_1,2,0.9008264335561453,0.3604095563139932,0.7376897008987771,0.23347607521876745,0.7897968823807274,0.3604095563139932,0.837549008474938
exp_seed_1,3,0.8987243715703777,0.35153038692801575,0.7187417120966554,0.22411851338473535,0.8146748543536451,0.35153038692801575,0.8379234116382442
exp_seed_1,4,0.8958514823859651,0.35751840168243953,0.7299248563430087,0.22994724739618558,0.8030231459612659,0.35751840168243953,0.8378318699342833
exp_seed_1,5,0.8944444814290676,0.3545972054510954,0.7243701193458082,0.22704780418838916,0.8091639111950873,0.3545972054510954,0.8379128807334477
exp_seed_1,6,0.8932507765119796,0.3584547635243994,0.7359805510534846,0.2319740500463392,0.7882223271925681,0.3584547635243994,0.8377661877507039
exp_seed_7,1,0.9240245749761677,0.36034339116890646,0.7398114041550022,0.23400451637184794,0.7831837505904582,0.36034339116890646,0.8361225258193304
exp_seed_7,2,0.9006588665079416,0.3597773388400072,0.7373360836894062,0.23304177910114451,0.7886946937490159,0.3597773388400072,0.8376184812211622
exp_seed_7,3,0.898340465178975,0.35732080575129904,0.7339325180492118,0.23083643720973007,0.7904267044559912,0.35732080575129904,0.8377059866541635
exp_seed_7,4,0.8962673935828571,0.35578510944801656,0.7298511860910565,0.2289914066033469,0.7971972917650764,0.35578510944801656,0.8377947359855075
exp_seed_7,5,0.8945429223034417,0.35413411119213806,0.725961396787977,0.22716742403991802,0.80286569044245,0.35413411119213806,0.83806739031195
exp_seed_7,6,0.8929509704448102,0.35501793375061536,0.7297480477383232,0.22855073119934805,0.7948354589828374,0.35501793375061536,0.837495927800598
exp_seed_42,1,0.9211414972491719,0.35515198261052483,0.7289966111684102,0.22844127728666788,0.7975122028027082,0.35515198261052483,0.8366540620092896
exp_seed_42,2,0.9010714619918478,0.3571023532747377,0.7327243259171946,0.23041390349874227,0.793260903794678,0.3571023532747377,0.8372901368492678
exp_seed_42,3,0.8980868994130456,0.36006311863434226,0.7370856048327685,0.23313054381646775,0.7904267044559912,0.36006311863434226,0.837461422418896
exp_seed_42,4,0.8963145480787619,0.35872375084103547,0.7331810814792986,0.23140533625730994,0.7975122028027082,0.35872375084103547,0.8379396040721229
exp_seed_42,5,0.8938960356935738,0.35312243221035333,0.7216148519227936,0.22562016012600078,0.8119981105337742,0.35312243221035333,0.8377173941745614
exp_seed_42,6,0.8932586803382356,0.35425219941348973,0.7242227788419037,0.22682689758769992,0.8083766336010078,0.35425219941348973,0.8376953277762866
exp_seed_42,7,0.892170946220589,0.3609972057916319,0.7405481066745249,0.2345562576629256,0.7831837505904582,0.3609972057916319,0.8372337813437971
exp_seed_42,8,0.8909024196603187,0.3577802268121867,0.7338293796964785,0.2310588667462577,0.7923161706817824,0.3577802268121867,0.8374586773963186
exp_seed_42,9,0.8897961226919356,0.3550847165188585,0.7246353322528363,0.22737316598904012,0.810108644307983,0.3550847165188585,0.8373950978104525
exp_seed_42,10,0.88897497549966,0.3617697563114245,0.7426108737291881,0.23553758325404378,0.7795622736576917,0.3617697563114245,0.8375691015283111
exp_seed_42,11,0.8889943107071909,0.3601369616147054,0.7384264034182997,0.23352341778068617,0.7866477720044087,0.3601369616147054,0.8374519562501297
exp_seed_42,12,0.8875241180421463,0.3512997202701781,0.7198172977751583,0.22423028349954274,0.8107384663832468,0.3512997202701781,0.837222387900438
exp_seed_42,13,0.8866135907481291,0.3522504892367906,0.7220126712833358,0.22523709167544784,0.807746811525744,0.3522504892367906,0.8372666256349138
exp_seed_42,14,0.8860493795359462,0.3552410313901345,0.7288345366141152,0.2284504122921642,0.7982994803967879,0.3552410313901345,0.8370876104912219
exp_seed_42,15,0.8848237381805704,0.3538963291929776,0.7256225136289967,0.22695919184726981,0.8030231459612659,0.3538963291929776,0.8370833822606413
exp_seed_2024,1,0.9217071101815713,0.34779981874937066,0.7137026668631207,0.22101356539544406,0.8157770429853566,0.34779981874937066,0.8362789114831931
exp_seed_2024,2,0.9010067689977286,0.3606865401987353,0.7393104464417268,0.2340555242918777,0.7858604944103291,0.3606865401987353,0.8374323354174236
exp_seed_2024,3,0.8984139925636266,0.35388405093154773,0.7256077795786061,0.2269490922036312,0.8030231459612659,0.35388405093154773,0.8376655266850248
exp_seed_2024,4,0.8964377381689906,0.35263914561511606,0.7213496390157654,0.22529851725495342,0.8110533774208786,0.35263914561511606,0.8377311269658327
exp_seed_2024,5,0.8940176984990356,0.35499548705130873,0.7262413437453956,0.22769984413270986,0.8050700677058731,0.35499548705130873,0.8375353089566677
exp_seed_2024,6,0.8928635662514867,0.35047333651161205,0.7189627228525122,0.22359330871170977,0.810266099826799,0.35047333651161205,0.8374046637982219
exp_seed_2024,7,0.8923562566760284,0.3527146442939174,0.7226315013997348,0.22562906915361605,0.807589356006928,0.3527146442939174,0.8375823825746078
exp_posw_1,1,0.2550115037185888,0.14393835145176825,0.908339472520996,0.5709606986899564,0.08234923634073374,0.14393835145176825,0.8359872877070245
exp_posw_1,2,0.2421959474658735,0.14334941419710545,0.9084278768233387,0.5752212389380531,0.08187686978428593,0.14334941419710545,0.836672557958618
exp_posw_1,3,0.24158982494439754,0.13639526791927628,0.9085752173272432,0.5875299760191847,0.07715320421980791,0.13639526791927628,0.8369143234226143
exp_posw_1,4,0.2410793326590481,0.14646881011266832,0.9084720789745101,0.5749730312837109,0.0839237915288931,0.14646881011266832,0.8376360020156169
exp_posw_1,5,0.24053982010950758,0.15300396879704392,0.9088109621334906,0.5847280334728033,0.08801763501810739,0.15300396879704392,0.8372217992242676
exp_posw_1,6,0.24047204722110213,0.12478873239436619,0.9084426108737292,0.5914552736982643,0.06975279483545899,0.12478873239436619,0.8370259095501777
exp_posw_1,7,0.24038797775840143,0.1335195530726257,0.9085899513776338,0.5908529048207664,0.07526373799401669,0.1335195530726257,0.8370360245424624
exp_posw_1,8,0.23994879024960883,0.1401766004415011,0.908177397966701,0.5663322185061316,0.07998740355849472,0.1401766004415011,0.8374941144220469
exp_posw_1,9,0.2397100866948268,0.1513131038236495,0.9081037277147488,0.5571142284569138,0.08754526846165958,0.1513131038236495,0.8371628535436473
exp_posw_1,10,0.23963590618674319,0.1638508983641727,0.9081184617651392,0.5519421860885275,0.09620532199653598,0.1638508983641727,0.8378646425604748
exp_posw_1,11,0.23935290304447415,0.1480366671227254,0.9082510682186533,0.5647181628392485,0.08518343567942056,0.1480366671227254,0.8374053650907031
exp_posw_1,12,0.2391310907864224,0.1613250740640991,0.9082363341682629,0.5572093023255814,0.09431585577074476,0.1613250740640991,0.8372729231902064
exp_posw_1,13,0.23881727625557217,0.15482646420824295,0.9081479298659202,0.5570731707317074,0.0899071012438986,0.15482646420824295,0.8372903096129264
exp_posw_1,14,0.23871155863143323,0.13716020422243688,0.9078679829085016,0.5546875,0.07825539285151945,0.13716020422243688,0.8366221749568152
exp_posw_1,15,0.23852471369341233,0.138996138996139,0.9080005893620157,0.5593784683684795,0.079357581483231,0.138996138996139,0.8369131703851587
exp_posw_3,1,0.49423817011959525,0.3928358208955224,0.8801237660232798,0.3733862959285005,0.4144229255235396,0.3928358208955224,0.836496230249617
exp_posw_3,2,0.4810610308593232,0.39362017804154303,0.8795638721084426,0.37214195539346334,0.4177294914186742,0.39362017804154303,0.8370820692568351
exp_posw_3,3,0.47960907220840454,0.39525222551928785,0.8798880212170326,0.3736849488006733,0.4194615021256495,0.39525222551928785,0.8373083986078587
exp_posw_3,4,0.47863545214609876,0.39448854275872397,0.8808604685428024,0.376124518063687,0.41473783656117147,0.39448854275872397,0.8378046833330566
exp_posw_3,5,0.47741620967191717,0.4014816925487961,0.8762045086194195,0.3665929491349031,0.4437096520233034,0.4014816925487961,0.8375482918256869
exp_posw_3,6,0.47732115831821914,0.3948301329394387,0.8792691911006336,0.3718180553623592,0.4208786017949929,0.3948301329394387,0.8372867596396728
exp_posw_3,7,0.47695567736910693,0.39135672338503236,0.8808899366435833,0.3749819650844034,0.40922689340261376,0.39135672338503236,0.8370047146485813
exp_posw_3,8,0.4762224762043005,0.3994261119081779,0.876646530131133,0.36684675187771776,0.4383561643835616,0.3994261119081779,0.8374645321647529
exp_posw_3,9,0.47596868140824583,0.3994874715261959,0.875703550906144,0.36455761985189034,0.4418201857975122,0.3994874715261959,0.8371311840454098
exp_posw_3,10,0.4753304039141666,0.39812342114760013,0.877132753794018,0.3675373134328358,0.43426232089434735,0.39812342114760013,0.8375807573164853
exp_posw_5,1,0.6556657003855667,0.4009387222946545,0.830749963164874,0.2997504678727386,0.6052590143284522,0.4009387222946545,0.8366127548583578
exp_posw_5,2,0.641043462304576,0.4038683906233575,0.8328864004714897,0.3031163708086785,0.6049441032908204,0.4038683906233575,0.8372158369584459
exp_posw_5,3,0.6389795639980975,0.40348483258108536,0.8325327832621188,0.30260568369676455,0.6052590143284522,0.40348483258108536,0.8374746330799986
exp_posw_5,4,0.6376891925281007,0.40288679344676814,0.8329895388242228,0.3027232425585814,0.6021099039521335,0.40288679344676814,0.8379312986191969
exp_posw_5,5,0.6358779437226124,0.4017055430147981,0.824266980993075,0.2947585394581861,0.6304518973390018,0.4017055430147981,0.837740278320821
exp_posw_5,6,0.6356718536821436,0.4006995524921558,0.8283335789008398,0.2975553857906799,0.6132892457880649,0.4006995524921558,0.8374124471209793
exp_posw_5,7,0.6351185797778393,0.4041362400724908,0.8352880506851333,0.30547945205479454,0.5969138718312077,0.4041362400724908,0.8371358486641949
exp_posw_5,8,0.6341831687964222,0.4019261308334614,0.827979961691469,0.2978739559605163,0.6176980003149111,0.4019261308334614,0.837565304567012
